Cantidad;PrecioUnitario;Total;NumeroBultos;Trimestre;Mes;Anio;Establecimiento;FormaPago;Discapacidad;EstadoContribuyente;Género;EstadoCivil;Ciudad;Instruccion;TipoPersona;Producto (Etiqueta)
22;16;344,96;21;2;4;2018;1;2;2;1;2;3;8;1;2;MAIZ AMARILLO NACIONAL
40;18;720;42;2;4;2018;1;2;2;1;2;3;8;1;2;MAIZ SELECTO
110;15,5;1705;110;2;4;2018;1;2;2;1;1;1;115;1;2;MAIZ AMARILLO NACIONAL
30;18;540;31;2;4;2018;1;2;2;1;1;1;3;1;2;MAIZ SELECTO
0,25;20;5;0;2;4;2018;1;2;2;3;1;3;146;1;2;MAIZ SELECTO
26;15,5;403;26;2;4;2018;1;2;2;1;2;3;63;1;2;MAIZ AMARILLO NACIONAL
10;19;190;10;2;4;2018;1;2;2;1;2;3;63;1;2;MAIZ SELECTO
5;15;75;5;2;4;2018;1;2;2;1;2;3;63;1;2;HARINA NORMAL
4;16;62,72;3;2;4;2018;1;2;2;1;1;3;105;1;2;MAIZ AMARILLO NACIONAL
30;18;540;30;2;4;2018;1;2;2;1;1;3;105;1;2;MAIZ SELECTO
30;15;450;30;2;4;2018;1;2;2;1;1;3;8;1;2;HARINA NORMAL
1;16;16;0;2;4;2018;1;2;2;1;1;3;8;1;2;MAIZ AMARILLO NACIONAL
201;15,5;3113,95;200;2;4;2018;1;2;2;1;1;3;28;1;2;MAIZ AMARILLO NACIONAL
46;18;828;46;2;4;2018;1;2;2;1;1;3;28;1;2;MAIZ SELECTO
20;15,5;310;20;2;4;2018;1;2;2;1;2;3;49;1;2;MAIZ AMARILLO NACIONAL
10;19;190;10;2;4;2018;1;2;2;1;2;3;49;1;2;MAIZ SELECTO
2;22;44;2;2;4;2018;1;2;2;1;2;3;49;1;2;MAIZ SELECTO FINO
5;14;70;5;2;4;2018;1;2;2;1;2;3;49;1;2;HARINA NORMAL
10;15,5;151,9;9;2;4;2018;1;2;2;1;2;3;3;1;2;MAIZ AMARILLO NACIONAL
40;18;720;40;2;4;2018;1;2;2;1;2;3;3;1;2;MAIZ SELECTO
15;18;270;15;2;4;2018;1;2;2;1;2;3;125;1;2;MAIZ SELECTO
10;14,5;140,65;9;2;4;2018;1;2;2;1;1;1;3;1;2;HARINA NORMAL
133;15,5;2061,5;133;2;4;2018;1;2;2;1;2;3;75;1;2;MAIZ AMARILLO NACIONAL
130;15,5;2007,25;129;2;4;2018;1;2;2;1;1;3;39;1;2;MAIZ AMARILLO NACIONAL
21;15,5;325,5;21;2;4;2018;1;2;2;1;2;3;63;1;2;MAIZ AMARILLO NACIONAL
10;19;190;10;2;4;2018;1;2;2;1;2;3;63;1;2;MAIZ SELECTO
5;15;75;5;2;4;2018;1;2;2;1;2;3;63;1;2;HARINA NORMAL
40;18;720;40;2;4;2018;1;2;2;1;1;1;3;1;2;MAIZ SELECTO
15;14,5;210,98;14;2;4;2018;1;2;2;1;1;1;3;1;2;HARINA NORMAL
110;16;1760;110;2;4;2018;1;2;2;1;1;1;115;1;2;MAIZ AMARILLO NACIONAL
5;19;95;5;2;4;2018;1;2;2;1;1;1;115;1;2;MAIZ SELECTO
15;16;235,2;14;2;4;2018;1;2;2;1;2;3;3;1;2;MAIZ AMARILLO NACIONAL
15;18;270;15;2;4;2018;1;2;2;1;2;3;3;1;2;MAIZ SELECTO
10;15;147;9;2;4;2018;1;2;2;1;2;3;3;1;2;HARINA NORMAL
77;15;1150,65;76;2;4;2018;1;2;2;1;2;3;146;1;2;HARINA NORMAL
50;18;900;50;2;4;2018;1;2;2;1;2;3;8;1;2;MAIZ SELECTO
152;16;2432;152;2;4;2018;1;2;2;1;1;3;146;1;2;MAIZ AMARILLO NACIONAL
274;16;4390,4;274;2;4;2018;1;2;2;1;1;1;3;1;2;MAIZ AMARILLO NACIONAL
20;18;360;20;2;4;2018;1;2;2;1;1;1;3;1;2;MAIZ SELECTO
10;14,5;140,65;9;2;4;2018;1;2;2;1;1;1;3;1;2;HARINA NORMAL
77;16;1225,6;76;2;4;2018;1;2;2;1;1;1;39;3;2;MAIZ AMARILLO NACIONAL
14;18;252;14;2;4;2018;1;2;2;1;1;1;39;3;2;MAIZ SELECTO
1;22;22;1;2;4;2018;1;2;2;1;1;1;39;3;2;MAIZ SELECTO FINO
19;14,5;281,3;19;2;4;2018;1;2;2;1;1;1;39;3;2;HARINA NORMAL
50;16;800;50;2;4;2018;1;2;2;1;1;3;113;1;2;MAIZ AMARILLO NACIONAL
163;16;2608;163;2;4;2018;1;2;2;1;1;3;146;1;2;MAIZ AMARILLO NACIONAL
1;18;18;0;2;4;2018;1;2;2;3;2;3;8;3;2;MAIZ SELECTO
2;15;30;2;2;4;2018;1;2;2;1;1;3;38;1;2;HARINA NORMAL
12;16;192;12;2;4;2018;1;2;2;1;1;3;105;1;2;MAIZ AMARILLO NACIONAL
0,5;20;10;0;2;4;2018;1;2;2;1;1;3;105;1;2;MAIZ SELECTO
240;18,5;4440;240;2;4;2018;1;2;2;1;1;3;74;1;2;MAIZ SELECTO
10;15;150;10;2;4;2018;1;2;2;1;1;3;74;1;2;HARINA NORMAL
15;17;255;15;2;4;2018;1;2;2;1;1;3;50;1;2;MAIZ AMARILLO NACIONAL
20;19,5;390;20;2;4;2018;1;2;2;1;1;3;50;1;2;MAIZ SELECTO
20;17;340;20;2;4;2018;1;2;2;1;1;3;50;1;2;MAIZ AMARILLO NACIONAL
15;19,5;292,5;15;2;4;2018;1;2;2;1;1;3;50;1;2;MAIZ SELECTO
230;18,5;4255;230;2;4;2018;1;2;2;1;1;3;74;1;2;MAIZ SELECTO
20;15;300;20;2;4;2018;1;2;2;1;1;3;74;1;2;HARINA NORMAL
2;15;30;2;2;4;2018;1;2;2;1;1;3;90;1;2;HARINA NORMAL
25;17;425;25;2;4;2018;1;2;2;1;1;3;50;1;2;MAIZ AMARILLO NACIONAL
1;15;15;0;2;4;2018;1;2;2;1;1;3;146;1;2;HARINA NORMAL
0,5;17;8,5;0;2;4;2018;1;2;2;1;1;1;110;1;2;MAIZ AMARILLO NACIONAL
